"X","V1","V3","V4","V5","V6","C1","C2","C3","C4","C5"
1,0.700338476099926,0.274270731105495,0.990283174783202,-0.37786573,1.42604554,1,2,1,1,1
10,0,0,0,-0.37786573,0,0,3,0,0,0
12,0,0,0,-0.37786573,0,0,3,0,0,0
13,0.93981533773211,0.0863273364205491,0,-0.37786573,0,1,3,1,0,0
15,1.12768282285889,0.203273686557643,1.31504439520354,-0.37786573,1.88920564,1,1,1,1,1
20,0,0,0,-0.37786573,0,0,3,0,0,0
22,0.935504495628148,0.0863273364205491,1.17482324918137,-0.37786573,1.8191222,1,1,1,1,1
34,0.471033224031071,0.666142180837032,1.1032482426747,0.62675172,2.25181124,1,3,1,1,1
37,0.379626070290109,1.25975769681716,0,-0.37786573,0,1,3,1,0,0
38,0,0,0,-0.37786573,0,0,3,0,0,0
46,1.20704278311504,0.0863273364205491,1.03233337748555,-0.37786573,1.25540761,1,2,1,1,1
48,0,0,0,-0.37786573,0,0,3,0,0,0
52,0.733012248572039,0.461253124571302,0.957785791355363,0.61842161,2.09336174,1,3,1,1,1
69,0,0,0,-0.37786573,0,0,3,0,0,0
72,0.36291671449598,0.73330851849469,0.998089640523603,-0.37786573,1.93795933,1,3,1,1,1
79,0.366093082707762,0.568935940069666,0.945567634191474,0.5914887,2.25790544,1,3,1,1,1
80,0,0,0,-0.37786573,0,0,3,0,0,0
81,0.403669036136117,0.8744383483521,0.761834850811071,-0.37786573,1.82521641,1,3,1,1,1
84,1.12839553821138,0.274270731105495,1.10562538928878,0.44490516,1.18837129,1,1,1,1,1
87,0,0,0,-0.37786573,0,0,3,0,0,0
88,0,0,0,-0.37786573,0,0,3,0,0,0
93,0.512262157457211,0.489280279392144,0,-0.37786573,0,1,3,1,0,0
96,0.782392131265604,0.340559607641916,1.18532444450667,0.78127026,1.87397011,1,3,1,1,1
97,0.912851540629936,0.998091623497611,0,-0.37786573,0,1,1,1,0,0
101,0,0,0,-0.37786573,0,0,3,0,0,0
108,0.855560272457119,0.516543280767389,0.914099027844583,0.94497497,1.74599166,1,1,1,1,1
111,1.08899237195551,0.203273686557643,0,-0.37786573,0,1,1,1,0,0
132,0.86065892394292,0.543082695024646,0,-0.37786573,0,1,3,1,0,0
141,0.585523236947269,0.432417741836329,0.645183271822461,-0.37786573,2.45901444,1,3,1,1,1
142,0.91922194766057,0.568935940069666,0.968415657160849,0.28860866,1.81302799,1,1,1,1,1
150,0.74851671030041,0.594137604921084,1.07412885044925,0.31432333,2.26095254,1,3,1,1,1
151,0,0,0,-0.37786573,0,0,3,0,0,0
152,0.648216303004583,0.489280279392144,0,-0.37786573,0,1,3,1,0,0
161,0.698402656322651,0.8744383483521,0.986199601839709,0.5094388,1.96538324,1,3,1,1,1
162,0,0,0,-0.37786573,0,0,3,0,0,0
167,0.366797575788815,0.8744383483521,0.715474094651912,-0.37786573,1.77950982,1,3,1,1,1
169,0.56916805994143,0.340559607641916,0,-0.37786573,0,1,3,1,0,0
170,0.482494628381025,0.964294365857418,1.14385191905044,1.8747532,1.91967669,1,3,1,1,1
183,0.67427178075546,0.274270731105495,0.875121727152824,1.4927865,2.22743434,1,3,1,1,1
187,0.49671640115902,0.461253124571302,0.835295703220239,1.3727408,1.70028507,1,3,1,1,1
188,0,0,0,-0.37786573,0,0,3,0,0,0
194,0.725496967871832,0.516543280767389,0,-0.37786573,0,1,3,1,0,0
202,0.674099153281544,0.516543280767389,0,-0.37786573,0,1,3,1,0,0
207,1.26050248955747,0.340559607641916,0.888399395718,0.63932919,1.43823397,1,1,1,1,1
208,0.757133472684639,0.543082695024646,0,-0.37786573,0,1,3,1,0,0
212,0.336773098500596,0.568935940069666,1.0827397335115,1.2048545,1.73075613,1,3,1,1,1
215,0.439774917102151,0.666142180837032,0,-0.37786573,0,1,3,1,0,0
218,0,0,0,-0.37786573,0,0,3,0,0,0
