"V1","V3","V4","V5","V6","C1","C2","C3","C4","C5"
0.539886616295596,0.340559607641916,1.0147464574399,1.7433811,2.00804274,1,1,1,1,1
0.532554610909644,0.964294365857418,1.10897172724444,-0.37786573,2.34322444,1,1,1,1,1
0.842443461119486,0.274270731105495,1.4433944378416,-0.37786573,1.75513298,1,3,1,1,1
0.520750675091713,0.274270731105495,0,-0.37786573,0,1,1,1,0,0
0.294275443331392,1.10812363539306,0.51006904563292,0.1270441,2.22438724,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.657299035500111,0.340559607641916,0.877405444059504,-0.37786573,2.11164434,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.469975110089068,0.666142180837032,1.13113528557365,-0.37786573,2.03241964,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
1.20704278311504,0.0863273364205491,1.03233337748555,-0.37786573,1.25540761,1,2,1,1,1
0.965813252566975,0.340559607641916,1.0252448735164,-0.37786573,1.90748827,1,3,1,1,1
0.708044492523245,0.543082695024646,0,-0.37786573,0,1,3,1,0,0
0.562434534391496,0.543082695024646,0.55126612920854,0.72016086,1.77646272,1,1,1,1,1
0.536128247725004,0.568935940069666,0.788653504763064,0.40480212,2.17258644,1,1,1,1,1
0.406041841765332,0.711417192825003,0.687650833279201,-0.37786573,2.35845994,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.310796921515424,0.796246085703602,0.816638033368844,-0.37786573,2.05679644,1,1,1,1,1
0.751636889777264,0.165790874841792,0.888919917400663,-0.37786573,1.93186512,1,1,1,1,1
0.512262157457211,0.489280279392144,0,-0.37786573,0,1,1,1,0,0
0.782392131265604,0.340559607641916,1.18532444450667,0.78127026,1.87397011,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.739986691060009,0.516543280767389,0,-0.37786573,0,1,1,1,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.608736122898601,0.946957494857731,0.684889267659246,-0.37786573,2.24266994,1,1,1,1,1
1.16804450984907,0.126848204792475,1.00490927800863,-0.37786573,1.1944655,1,2,1,1,1
0.593695148716414,0.372125874164298,0.99637743857972,-0.37786573,1.93795933,1,1,1,1,1
0.425820608685533,1.36871610741944,1.10436761164475,0.27214599,1.83740484,1,1,1,1,1
0.371364715975374,0.307964342054138,0.379247839320004,-0.37786573,1.2980671,1,1,1,1,1
0.74851671030041,0.594137604921084,1.07412885044925,0.31432333,2.26095254,1,1,1,1,1
0.470821694539059,0.489280279392144,0.967774628495946,0.82459999,2.50776814,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.918748951973829,0.516543280767389,1.2771819966266,0.43035217,2.21219884,1,3,1,1,1
0.574331689949075,0.461253124571302,1.20688558306414,0.542858,1.80693378,1,1,1,1,1
0.418045199230835,0.6890358957988,1.14089016687521,-0.37786573,1.86482879,1,1,1,1,1
0.723362805880927,0.543082695024646,0,-0.37786573,0,1,1,1,0,0
0.67427178075546,0.274270731105495,0.875121727152824,1.4927865,2.22743434,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.787645631001115,0.432417741836329,0.726757468322411,-0.37786573,2.04156094,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.436058164967979,0.796246085703602,0.884573958727381,0.46923698,1.82521641,1,1,1,1,1
0.715277479079273,0.203273686557643,1.17508387362035,-0.37786573,2.38893104,1,1,1,1,1
0.574236309098296,1.51763905810472,0.935849996226642,0.13889721,1.64239006,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.640836711130483,0.489280279392144,0,-0.37786573,0,1,1,1,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.588818820379673,0.165790874841792,0.684676525646191,1.7636631,2.00804274,1,1,1,1,1
0.921111696327927,0.307964342054138,0.935849996226642,0.93015857,1.77950982,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.810574232861772,0.203273686557643,1.06892654486983,-0.37786573,2.44377894,1,1,1,1,1
0.195257920061086,0.816374772130568,0,-0.37786573,0,1,1,1,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.938026935664696,0.165790874841792,0.952428185124561,-0.37786573,1.69723797,1,3,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.419716453550985,0.711417192825003,0.709473020830625,0.59804084,2.03546674,1,1,1,1,1
0.677632030682633,0.666142180837032,0,-0.37786573,0,1,1,1,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.537712440596886,0.274270731105495,0.792863244731113,2.7769399,1.70637928,1,1,1,1,1
0.301443229409289,0.964294365857418,0.844404922732501,0.34204645,1.85568747,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.259214694390122,1.01457132109558,0.825733255262241,0.23243805,1.63020164,1,1,1,1,1
0.176552070268582,0,0,-0.37786573,0,1,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
1.2357063624009,0.568935940069666,0.97988443806462,-0.37786573,1.42299844,1,2,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.342201152144977,1.74633728678546,0,-0.37786573,0,1,1,1,0,0
0.50226695663949,1.01457132109558,0.773972869316084,-0.37786573,2.42244914,1,1,1,1,1
0.44792511395508,0.239402149087367,0,-0.37786573,0,1,1,1,0,0
1.6642087509498,0.0440949302180896,0,-0.37786573,0,1,1,1,0,0
0.371131007724363,3.1036219293888,1.4805553202301,0.35791646,1.59668347,1,1,1,1,1
0.494962608796303,0.402726129194381,0.992318726746857,-0.37786573,1.31025552,1,1,1,1,1
1.97831954745237,0.0863273364205491,0,-0.37786573,0,1,1,1,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
1.23284707718506,0.0863273364205491,1.04235218181783,-0.37786573,1.47175213,1,2,1,1,1
0.683720574389061,0.372125874164298,1.283631744524,-0.37786573,1.96233614,1,1,1,1,1
1.13331580179784,0.568935940069666,1.15308464365011,-0.37786573,1.58449505,1,2,1,1,1
0.474200864766153,0.836106276154839,0,-0.37786573,0,1,1,1,0,0
0.805213015235219,0.711417192825003,0.957137913917202,-0.37786573,2.42854334,1,1,1,1,1
0.894740051142431,0.489280279392144,1.0871598086536,-0.37786573,1.94405354,1,3,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.574617778041098,0.568935940069666,0.729609385795496,1.1337358,1.77036851,1,1,1,1,1
0.623917329388384,0.274270731105495,0,-0.37786573,0,1,1,1,0,0
0.681495269940696,1.47730370785904,0.720002735230524,0.59570314,1.36510343,1,1,1,1,1
0.76960720732044,0.516543280767389,0.983047006976415,-0.37786573,2.02327834,1,1,1,1,1
1.00909590039229,0.618719727377594,1.18080040100668,-0.37786573,2.28228234,1,3,1,1,1
0.285529347000155,0.642712038906618,1.16011898408831,1.1110174,1.6637198,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0,0,0,-0.37786573,0,0,1,0,0,0
0.565518344381283,1.88557055170483,1.10184730037062,0.060633721,1.5601182,1,3,1,1,1
0.43988402259529,0.461253124571302,0.950635921261406,-0.37786573,1.94100644,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.594069267956344,0.432417741836329,1.02282025517621,1.9579554,1.97452464,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.328392432741167,0.6890358957988,1.26950552639444,0.58961196,1.33158526,1,1,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
1.03349511836762,0.239402149087367,1.21330190760374,-0.37786573,2.16953934,1,3,1,1,1
0,0,0,-0.37786573,0,0,1,0,0,0
0.763626599254559,0.402726129194381,0.962631559819529,-0.37786573,1.73075613,1,1,1,1,1
